"","date1","date2","Prc","date_diff"
"101",2014-10-04,2014-10-21,0.0275229357798165,17
"102",2014-10-04,2014-10-22,0.018348623853211,18
"103",2014-10-04,2014-10-23,0,19
"104",2014-10-04,2014-10-24,0.0275229357798165,20
"105",2014-10-04,2014-10-25,0.0458715596330275,21
"106",2014-10-04,2014-10-26,0.0458715596330275,22
"107",2014-10-04,2014-10-27,0.0275229357798165,23
"108",2014-10-04,2014-10-28,0.0275229357798165,24
"109",2014-10-04,2014-10-29,0.055045871559633,25
"110",2014-10-04,2014-10-30,0.00917431192660551,26
"111",2014-10-05,2014-10-06,0.0147058823529412,1
"112",2014-10-05,2014-10-07,0.0367647058823529,2
"113",2014-10-05,2014-10-08,0.0294117647058824,3
"114",2014-10-05,2014-10-09,0.0294117647058824,4
"115",2014-10-05,2014-10-10,0.0220588235294118,5
"116",2014-10-05,2014-10-11,0.0367647058823529,6
"117",2014-10-05,2014-10-12,0.0441176470588235,7
"118",2014-10-05,2014-10-13,0.0220588235294118,8
"119",2014-10-05,2014-10-14,0.0294117647058824,9
"120",2014-10-05,2014-10-15,0.0220588235294118,10
"121",2014-10-05,2014-10-16,0.00735294117647059,11
"122",2014-10-05,2014-10-17,0.0147058823529412,12
"123",2014-10-05,2014-10-18,0.0294117647058824,13
"124",2014-10-05,2014-10-19,0.0588235294117647,14
"125",2014-10-05,2014-10-20,0.0367647058823529,15
"126",2014-10-05,2014-10-21,0.0294117647058824,16
"127",2014-10-05,2014-10-22,0.0294117647058824,17
"128",2014-10-05,2014-10-23,0.0441176470588235,18
"129",2014-10-05,2014-10-24,0.0294117647058824,19
"130",2014-10-05,2014-10-25,0.0441176470588235,20
"131",2014-10-05,2014-10-26,0.0147058823529412,21
"132",2014-10-05,2014-10-27,0.0294117647058824,22
"133",2014-10-05,2014-10-28,0.0294117647058824,23
"134",2014-10-05,2014-10-29,0.0294117647058824,24
"135",2014-10-05,2014-10-30,0.0220588235294118,25
"136",2014-10-06,2014-10-07,0.0384615384615385,1
"137",2014-10-06,2014-10-08,0.0128205128205128,2
"138",2014-10-06,2014-10-09,0.0641025641025641,3
"139",2014-10-06,2014-10-10,0.0384615384615385,4
"140",2014-10-06,2014-10-11,0.0769230769230769,5
"141",2014-10-06,2014-10-12,0.0512820512820513,6
"142",2014-10-06,2014-10-13,0.0384615384615385,7
"143",2014-10-06,2014-10-14,0.0512820512820513,8
"144",2014-10-06,2014-10-15,0.0384615384615385,9
"145",2014-10-06,2014-10-16,0.0256410256410256,10
"146",2014-10-06,2014-10-17,0.0256410256410256,11
"147",2014-10-06,2014-10-18,0.0384615384615385,12
"148",2014-10-06,2014-10-19,0.0512820512820513,13
"149",2014-10-06,2014-10-20,0.0641025641025641,14
"150",2014-10-06,2014-10-21,0.0512820512820513,15
"151",2014-10-06,2014-10-22,0.0256410256410256,16
"152",2014-10-06,2014-10-23,0.0128205128205128,17
"153",2014-10-06,2014-10-24,0.0512820512820513,18
"154",2014-10-06,2014-10-25,0.0384615384615385,19
"155",2014-10-06,2014-10-26,0.0512820512820513,20
"156",2014-10-06,2014-10-27,0.0384615384615385,21
"157",2014-10-06,2014-10-28,0.0641025641025641,22
"158",2014-10-06,2014-10-29,0.0384615384615385,23
