delivery_id,latitude,longitude
1457973,40.74460714,-73.99074197
1377056,40.72307952,-73.99461508
1476547,40.72847826,-73.99839184
1485494,40.73886755,-74.00274745
1327707,40.72610966,-74.00249186
1423142,40.71926893,-74.00874988
1334106,40.73485818,-73.98609344
1311619,40.7297909,-74.0005893
1487674,40.729357,-73.990156
1417206,40.75845677,-73.98914047
1332793,40.72899672,-74.00280958
1489527,40.72641318,-73.99382114
1302973,40.72751895,-73.9886713
1313076,40.74434085,-73.99042638
1414562,40.73589287,-74.00520444
1307518,40.78516004,-73.97691647
1274468,40.77793967,-73.95470974
1460242,40.7502053,-73.98643204
1324131,40.74460714,-73.99074197
1416277,40.77576432,-73.98020625
1413356,40.74287573,-73.99256124
1356218,40.72195256,-73.997737
1320596,40.78082577,-73.97648335
1370431,40.723955,-73.991829
1488027,40.72594802,-74.00110622
1360308,40.7344458,-73.99871349
1459871,40.74268064,-74.00623583
1419674,40.73378729,-73.99303526
1315209,40.77803525,-73.95603567
1282272,40.76765291,-73.98292546
1409389,40.74206208,-74.00518058
1453949,40.743982,-74.006678
1467996,40.74418795,-73.98753094
1307096,40.71564047,-74.01235355
1416984,40.75325542,-73.97201503
1314550,40.73206376,-73.99615467
1309391,40.71938641,-74.0086925
1354092,40.74206208,-74.00518058
1274946,40.73587229,-73.98766462
1432690,40.74507859,-73.98882151
1325557,40.73823004,-73.98783237
1415905,40.76752835,-73.98204736
1347595,40.71951802,-74.01044011
1328760,40.75582378,-73.9896344
1272824,40.76046828,-73.97395496
1303916,40.73548668,-74.0033213
1379189,40.72847826,-73.99839184
1407506,40.72132319,-74.00973201
1320822,40.71527933,-74.01486039
1413590,40.74466624,-73.98334441
1322133,40.764217,-73.988321
1369431,40.71926893,-74.00874988
1416028,40.730178,-74.0003224
1407558,40.737888,-73.99646
1440400,40.76765291,-73.98292546
1387545,40.76447214,-73.96643043
1365392,40.721294,-73.983994
1401304,40.72197958,-73.98814821
1399094,40.72965658,-73.98634596
1296092,40.73587229,-73.98766462
1389988,40.74507859,-73.98882151
1410753,40.73236829,-74.00374889
1339653,40.74174,-73.99365
1275526,40.78601712,-73.97847183
1414452,40.68277,-73.976532
1458106,40.77837362,-73.95255723
1483976,40.76153905,-73.98514649
1325129,40.76765291,-73.98292546
1439884,40.726823,-73.98547098
1366592,40.723955,-73.991829
1397309,40.73034018,-73.98399353
1460699,40.6753166,-73.9885326
1399321,40.717006,-73.956565
1390257,40.72463457,-73.99840236
1480763,40.72132319,-74.00973201
1420966,40.72610966,-74.00249186
1286764,40.78516004,-73.97691647
1458041,40.740784,-74.000721
1402861,40.73260867,-73.99726131
1294429,40.71125525,-73.96144262
1435631,40.757005,-73.976151
1375520,40.72913623,-73.98697151
1314550,40.73206376,-73.99615467
1287603,40.71672576,-74.00825065
1273784,40.75765339,-73.97064903
1486025,40.80254961,-73.95023268
1416043,40.72301983,-73.995854
1468364,40.72230707,-73.98735166
1294451,40.72951,-74.000865
1355600,40.72312831,-74.00206089
1458715,40.723955,-73.991829
1466413,40.76878971,-73.9852211
1356657,40.72474364,-73.99866156
1312898,40.7613,-73.97307
1280978,40.74460714,-73.99074197
1467907,40.73179547,-73.98567259
1482406,40.72790505,-73.9877635
1460008,40.72135375,-73.99752529
1281672,40.79039976,-73.97471256
1333675,40.74437,-73.99628
